agent_id,first_seen_joined_at,team_mode,vendor_mode,status_mode,raw_row_count,distinct_employee_codes,distinct_names
AGT0000984,2024-02-04 19:06:07,T1,VND0000014,INACTIVE,39,39,10
AGT0000538,2024-03-24 08:39:02,FIELD,VND0000011,ACTIVE,29,29,7
AGT0000277,2024-02-25 08:28:25,T2,VND0000014,INACTIVE,25,25,10
AGT0000194,2024-01-02 18:36:44,DIGITAL,VND0000005,ACTIVE,23,23,9
AGT0000123,2024-01-18 00:06:46,T1,VND0000010,INACTIVE,25,25,9
AGT0000448,2024-01-09 05:42:13,T1,VND0000003,INACTIVE,28,27,9
AGT0000674,2024-02-14 22:59:36,DIGITAL,VND0000005,INACTIVE,30,29,10
AGT0001000,2024-01-19 02:05:45,T2,VND0000001,ACTIVE,30,30,9
AGT0000556,2024-01-30 16:10:39,FIELD,VND0000011,INACTIVE,30,29,10
AGT0000265,2024-01-13 22:16:14,DIGITAL,VND0000006,ACTIVE,33,32,10
AGT0000488,2024-01-14 10:38:58,FIELD,VND0000007,SUSPENDED,35,34,8
AGT0000242,2024-01-03 16:07:50,T2,VND0000010,SUSPENDED,29,29,9
AGT0000058,2024-01-04 17:06:17,FIELD,VND0000006,ACTIVE,27,27,9
AGT0000454,2024-01-17 11:48:48,T1,VND0000007,SUSPENDED,29,29,9
AGT0000692,2024-01-01 20:15:39,FIELD,VND0000012,INACTIVE,32,32,9
AGT0000996,2024-01-16 21:47:44,FIELD,VND0000005,SUSPENDED,26,26,10
AGT0000462,2024-01-12 16:13:21,T2,VND0000015,INACTIVE,28,27,9
AGT0000221,2024-01-09 16:11:23,T1,VND0000007,SUSPENDED,35,34,10
AGT0000546,2024-01-24 23:03:38,FIELD,VND0000003,INACTIVE,38,36,9
AGT0000397,2024-01-18 10:54:09,T2,VND0000004,INACTIVE,34,34,9
AGT0000457,2024-01-29 05:36:28,T3,VND0000009,SUSPENDED,36,35,9
AGT0000878,2024-01-06 12:52:32,T2,VND0000011,SUSPENDED,26,26,9
AGT0000276,2024-01-12 19:18:17,T3,VND0000008,INACTIVE,23,21,8
AGT0000038,2024-01-02 23:17:51,FIELD,VND0000001,SUSPENDED,31,31,9
AGT0000838,2024-01-27 04:23:42,T2,VND0000001,ACTIVE,37,34,9
AGT0000139,2024-01-30 09:04:47,T2,VND0000009,ACTIVE,33,33,10
AGT0000640,2024-01-04 13:30:56,T2,VND0000007,INACTIVE,27,27,9
AGT0000723,2024-01-03 20:35:51,T1,VND0000001,INACTIVE,24,24,9
AGT0000633,2024-02-04 11:44:41,DIGITAL,VND0000009,SUSPENDED,29,29,10
AGT0000026,2024-01-10 11:58:23,T3,VND0000010,SUSPENDED,32,32,10
AGT0000584,2024-01-11 17:29:07,T1,VND0000003,ACTIVE,24,24,10
AGT0000839,2024-03-04 05:04:37,T2,VND0000015,INACTIVE,31,31,10
AGT0000505,2024-01-20 01:50:32,DIGITAL,VND0000002,INACTIVE,22,22,9
AGT0000502,2024-01-02 01:40:04,DIGITAL,VND0000007,INACTIVE,28,28,10
AGT0000220,2024-01-10 01:50:46,T2,VND0000005,ACTIVE,25,24,10
AGT0000520,2024-05-16 19:35:49,T1,VND0000003,INACTIVE,17,17,10
AGT0000926,2024-01-02 11:26:11,DIGITAL,VND0000012,INACTIVE,30,30,10
AGT0000127,2024-01-11 16:58:39,T1,VND0000010,ACTIVE,32,31,10
AGT0000670,2024-01-23 14:15:45,DIGITAL,VND0000010,INACTIVE,26,26,10
AGT0000699,2024-01-07 19:53:03,DIGITAL,VND0000009,INACTIVE,32,32,10
AGT0000918,2024-01-12 10:38:03,T1,VND0000010,INACTIVE,31,31,10
AGT0000544,2024-01-17 04:28:25,T1,VND0000014,INACTIVE,43,42,10
AGT0000694,2024-03-05 01:10:47,T3,VND0000009,INACTIVE,26,26,9
AGT0000847,2024-01-04 10:05:31,T1,VND0000007,INACTIVE,37,37,10
AGT0000295,2024-02-10 22:07:35,DIGITAL,VND0000013,INACTIVE,34,34,9
AGT0000661,2024-01-22 09:01:42,FIELD,VND0000015,SUSPENDED,28,26,10
AGT0000709,2024-02-03 06:11:59,T1,VND0000005,SUSPENDED,33,33,10
AGT0000395,2024-01-02 17:11:58,T1,VND0000014,SUSPENDED,28,28,9
AGT0000646,2024-01-08 02:30:08,FIELD,VND0000003,INACTIVE,33,33,10
AGT0000084,2024-01-17 22:23:17,FIELD,VND0000009,ACTIVE,40,40,9
AGT0000389,2024-01-20 17:57:32,T3,VND0000015,ACTIVE,25,25,9
AGT0000645,2024-01-17 10:55:30,T2,VND0000013,INACTIVE,24,24,9
AGT0000810,2024-01-01 17:13:11,T2,VND0000004,ACTIVE,41,41,10
AGT0000286,2024-01-03 09:08:26,T1,VND0000004,INACTIVE,33,32,10
AGT0000912,2024-01-01 07:46:33,T3,VND0000002,SUSPENDED,41,41,10
AGT0000846,2024-01-27 09:59:54,DIGITAL,VND0000011,SUSPENDED,30,30,9
AGT0000294,2024-01-31 21:12:41,T3,VND0000006,ACTIVE,28,28,10
AGT0000401,2024-03-21 18:51:15,T3,VND0000002,ACTIVE,24,24,9
AGT0000936,2024-01-16 11:36:53,T2,VND0000013,ACTIVE,35,35,9
AGT0000932,2024-02-10 23:54:19,T2,VND0000008,ACTIVE,33,33,10
AGT0000250,2024-02-10 09:52:04,T3,VND0000007,ACTIVE,40,40,9
AGT0000169,2024-01-14 05:21:27,T3,VND0000012,INACTIVE,27,27,9
AGT0000620,2024-01-06 05:29:20,T2,VND0000007,ACTIVE,32,31,10
AGT0000762,2024-01-01 12:49:18,T3,VND0000014,ACTIVE,34,33,10
AGT0000330,2024-01-29 09:15:11,DIGITAL,VND0000014,ACTIVE,24,24,9
AGT0000244,2024-02-04 12:06:23,DIGITAL,VND0000009,SUSPENDED,25,25,9
AGT0000193,2024-01-01 06:58:00,T1,VND0000015,ACTIVE,34,34,9
AGT0000970,2024-01-11 15:50:16,DIGITAL,VND0000005,SUSPENDED,35,35,10
AGT0000243,2024-02-28 06:19:16,T3,VND0000009,INACTIVE,38,38,10
AGT0000186,2024-02-11 01:31:23,T1,VND0000005,INACTIVE,34,33,9
AGT0000989,2024-01-20 20:52:08,T2,VND0000012,ACTIVE,37,37,9
AGT0000911,2024-02-19 22:15:13,DIGITAL,VND0000005,SUSPENDED,28,28,10
AGT0000832,2024-01-09 05:58:17,T3,VND0000007,SUSPENDED,35,35,10
AGT0000377,2024-01-21 17:41:10,T2,VND0000003,ACTIVE,36,35,10
AGT0000927,2024-01-17 14:19:09,T3,VND0000011,INACTIVE,26,25,10
AGT0000303,2024-01-08 15:02:23,FIELD,VND0000007,ACTIVE,38,38,10
AGT0000933,2024-01-07 04:11:38,T3,VND0000009,SUSPENDED,34,34,10
AGT0000644,2024-01-20 03:14:11,T1,VND0000003,SUSPENDED,29,29,10
AGT0000422,2024-02-02 03:37:53,T3,VND0000001,SUSPENDED,28,28,9
AGT0000160,2024-01-08 18:01:33,T2,VND0000004,ACTIVE,27,27,10
AGT0000736,2024-01-26 10:19:52,T1,VND0000013,INACTIVE,20,19,6
AGT0000787,2024-02-12 09:15:25,T1,VND0000014,SUSPENDED,22,22,8
AGT0000737,2024-01-12 14:24:35,DIGITAL,VND0000005,ACTIVE,27,26,9
AGT0000004,2024-02-04 20:49:43,T2,VND0000004,INACTIVE,28,28,10
AGT0000800,2024-03-04 01:25:02,T3,VND0000005,SUSPENDED,35,34,10
AGT0000865,2024-01-14 18:54:30,T2,VND0000002,ACTIVE,26,25,10
AGT0000451,2024-01-29 08:15:09,T1,VND0000001,SUSPENDED,34,33,10
AGT0000950,2024-01-27 00:08:04,FIELD,VND0000003,INACTIVE,28,28,9
AGT0000492,2024-01-04 11:00:34,T1,VND0000014,SUSPENDED,31,29,10
AGT0000214,2024-01-04 20:09:50,FIELD,VND0000004,INACTIVE,30,30,10
AGT0000071,2024-01-02 05:07:15,DIGITAL,VND0000004,INACTIVE,32,31,9
AGT0000590,2024-01-05 21:25:43,T1,VND0000010,ACTIVE,40,39,10
AGT0000237,2024-03-08 05:49:15,T3,VND0000002,INACTIVE,22,22,10
AGT0000537,2024-02-27 23:32:50,DIGITAL,VND0000011,ACTIVE,29,29,10
AGT0000852,2024-02-11 08:39:13,T3,VND0000012,ACTIVE,25,25,10
AGT0000695,2024-01-22 15:38:21,T1,VND0000007,SUSPENDED,25,25,9
AGT0000239,2024-01-08 18:22:31,DIGITAL,VND0000010,ACTIVE,31,31,9
AGT0000095,2024-01-06 13:02:51,FIELD,VND0000015,ACTIVE,34,34,10
AGT0000410,2024-01-16 01:34:06,T1,VND0000009,SUSPENDED,29,29,10
AGT0000656,2024-01-08 07:37:23,FIELD,VND0000003,SUSPENDED,26,26,10
AGT0000512,2024-01-04 07:18:05,T2,VND0000008,SUSPENDED,28,28,10
AGT0000673,2024-01-08 13:36:38,FIELD,VND0000013,ACTIVE,37,37,9
AGT0000572,2024-01-22 05:51:55,DIGITAL,VND0000006,SUSPENDED,18,18,6
AGT0000361,2024-01-04 14:54:53,T2,VND0000008,SUSPENDED,29,29,10
AGT0000219,2024-01-13 23:07:11,T1,VND0000013,ACTIVE,29,29,10
AGT0000592,2024-01-03 11:44:00,T1,VND0000001,SUSPENDED,25,25,8
AGT0000571,2024-02-10 08:48:01,T3,VND0000004,SUSPENDED,30,29,10
AGT0000975,2024-01-07 10:29:43,DIGITAL,VND0000006,SUSPENDED,44,43,10
AGT0000016,2024-01-29 20:32:35,T2,VND0000013,INACTIVE,39,39,10
AGT0000439,2024-01-13 21:35:40,T1,VND0000010,INACTIVE,32,32,10
AGT0000724,2024-01-05 01:16:58,FIELD,VND0000007,INACTIVE,41,41,10
AGT0000526,2024-03-19 21:38:56,T1,VND0000012,ACTIVE,34,32,10
AGT0000468,2024-02-02 22:42:52,T1,VND0000006,ACTIVE,32,32,10
AGT0000289,2024-01-19 06:10:01,T2,VND0000002,INACTIVE,32,31,9
AGT0000374,2024-02-03 23:09:34,FIELD,VND0000003,SUSPENDED,25,25,10
AGT0000417,2024-01-04 13:04:45,T1,VND0000005,INACTIVE,23,23,8
AGT0000717,2024-01-14 06:37:36,T2,VND0000015,INACTIVE,28,27,9
AGT0000030,2024-01-03 17:18:33,T1,VND0000002,SUSPENDED,37,36,10
AGT0000485,2024-01-24 17:40:06,T2,VND0000002,INACTIVE,31,29,10
AGT0000856,2024-01-04 08:15:10,T1,VND0000008,ACTIVE,40,38,10
AGT0000130,2024-01-22 16:36:00,T2,VND0000008,SUSPENDED,26,25,9
AGT0000714,2024-02-08 15:54:47,FIELD,VND0000003,INACTIVE,30,30,10
AGT0000373,2024-01-18 22:44:55,T3,VND0000004,SUSPENDED,35,34,10
AGT0000236,2024-01-09 21:42:50,T1,VND0000007,INACTIVE,34,34,10
AGT0000222,2024-02-18 02:17:27,T3,VND0000013,ACTIVE,25,24,10
AGT0000107,2024-03-06 16:31:53,DIGITAL,VND0000006,INACTIVE,29,29,9
AGT0000053,2024-01-18 12:27:09,FIELD,VND0000011,ACTIVE,38,38,10
AGT0000398,2024-01-06 20:31:12,T3,VND0000002,ACTIVE,23,23,7
AGT0000122,2024-01-02 02:15:23,DIGITAL,VND0000015,ACTIVE,36,35,10
AGT0000486,2024-01-09 03:55:33,T3,VND0000010,SUSPENDED,33,32,8
AGT0000105,2024-01-10 01:35:57,DIGITAL,VND0000003,SUSPENDED,40,39,10
AGT0000726,2024-01-29 13:54:22,T1,VND0000008,INACTIVE,30,30,9
AGT0000312,2024-01-06 02:09:16,DIGITAL,VND0000015,SUSPENDED,32,31,9
AGT0000731,2024-01-27 22:30:48,FIELD,VND0000003,INACTIVE,24,23,10
AGT0000577,2024-01-10 16:26:28,T3,VND0000006,SUSPENDED,30,30,8
AGT0000752,2024-01-08 20:30:08,T3,VND0000001,INACTIVE,24,24,10
AGT0000392,2024-01-22 12:05:17,T2,VND0000011,ACTIVE,35,34,10
AGT0000919,2024-02-04 22:23:48,T2,VND0000010,ACTIVE,29,29,8
AGT0000482,2024-01-24 23:00:46,FIELD,VND0000007,ACTIVE,24,24,10
AGT0000867,2024-01-18 14:58:12,T2,VND0000008,SUSPENDED,32,31,10
AGT0000161,2024-01-05 14:57:42,T2,VND0000005,ACTIVE,37,37,10
AGT0000636,2024-01-28 08:02:26,T2,VND0000005,INACTIVE,25,25,9
AGT0000941,2024-01-03 00:12:37,T1,VND0000004,ACTIVE,34,33,9
AGT0000635,2024-03-17 15:53:57,T3,VND0000006,INACTIVE,22,22,9
AGT0000611,2024-02-28 10:53:22,T1,VND0000009,INACTIVE,25,24,9
AGT0000467,2024-02-02 08:58:23,T2,VND0000005,INACTIVE,26,26,9
AGT0000613,2024-01-10 02:25:02,FIELD,VND0000001,INACTIVE,29,28,10
AGT0000182,2024-01-07 22:07:59,T3,VND0000002,INACTIVE,32,30,10
AGT0000843,2024-01-06 15:28:41,T2,VND0000015,SUSPENDED,47,46,10
AGT0000807,2024-01-02 19:36:05,T1,VND0000003,SUSPENDED,33,33,10
AGT0000241,2024-01-16 21:36:34,FIELD,VND0000008,INACTIVE,21,21,9
AGT0000994,2024-02-08 16:19:03,DIGITAL,VND0000014,INACTIVE,36,36,10
AGT0000202,2024-01-05 19:04:20,FIELD,VND0000009,INACTIVE,35,35,10
AGT0000282,2024-01-18 01:56:21,T1,VND0000001,SUSPENDED,20,20,9
AGT0000983,2024-01-01 07:55:09,T3,VND0000007,SUSPENDED,22,22,7
AGT0000382,2024-02-13 12:40:27,FIELD,VND0000008,ACTIVE,28,27,10
AGT0000131,2024-01-03 07:59:41,DIGITAL,VND0000015,SUSPENDED,25,25,9
AGT0000952,2024-01-09 12:39:38,DIGITAL,VND0000008,ACTIVE,25,24,9
AGT0000594,2024-01-09 06:28:48,FIELD,VND0000009,ACTIVE,30,30,9
AGT0000857,2024-01-24 11:32:49,T1,VND0000010,SUSPENDED,32,32,10
AGT0000710,2024-02-07 14:22:47,T3,VND0000015,INACTIVE,27,27,8
AGT0000073,2024-02-03 21:07:23,T1,VND0000011,SUSPENDED,35,35,10
AGT0000666,2024-01-04 13:56:48,T3,VND0000005,SUSPENDED,31,31,10
AGT0000298,2024-01-04 13:08:36,T2,VND0000006,SUSPENDED,25,25,9
AGT0000953,2024-01-15 21:21:47,T2,VND0000001,ACTIVE,35,34,9
AGT0000291,2024-01-20 05:42:27,T2,VND0000004,SUSPENDED,24,23,10
AGT0000624,2024-01-16 05:40:22,T2,VND0000014,ACTIVE,34,34,10
AGT0000411,2024-01-07 19:11:12,T1,VND0000007,SUSPENDED,27,27,10
AGT0000579,2024-01-24 00:23:47,T2,VND0000006,ACTIVE,33,33,10
AGT0000788,2024-02-16 22:14:54,T2,VND0000007,ACTIVE,30,30,9
AGT0000333,2024-01-06 09:23:20,T2,VND0000007,SUSPENDED,24,24,7
AGT0000961,2024-01-05 09:27:41,T2,VND0000003,ACTIVE,33,33,10
AGT0000892,2024-01-18 02:08:46,T3,VND0000014,INACTIVE,28,27,10
AGT0000742,2024-01-04 10:58:08,DIGITAL,VND0000004,SUSPENDED,26,25,10
AGT0000939,2024-01-04 06:00:40,DIGITAL,VND0000005,SUSPENDED,29,28,9
AGT0000663,2024-01-04 22:53:30,T3,VND0000011,SUSPENDED,27,26,10
AGT0000703,2024-02-11 20:20:18,T2,VND0000012,SUSPENDED,32,32,10
AGT0000793,2024-02-29 05:09:12,DIGITAL,VND0000001,SUSPENDED,28,27,10
AGT0000159,2024-01-29 05:21:58,DIGITAL,VND0000015,ACTIVE,35,34,9
AGT0000302,2024-01-30 02:19:33,DIGITAL,VND0000006,SUSPENDED,27,27,10
AGT0000327,2024-02-01 14:28:34,T1,VND0000005,INACTIVE,38,37,10
AGT0000605,2024-02-14 08:55:39,T3,VND0000007,INACTIVE,27,27,9
AGT0000660,2024-01-05 05:25:02,T1,VND0000009,SUSPENDED,32,31,10
AGT0000681,2024-01-18 09:49:40,DIGITAL,VND0000013,SUSPENDED,28,27,10
AGT0000713,2024-01-16 22:13:32,T1,VND0000009,INACTIVE,28,28,10
AGT0000748,2024-02-12 20:41:57,T1,VND0000015,SUSPENDED,23,23,8
AGT0000868,2024-01-25 18:58:42,T1,VND0000004,SUSPENDED,33,32,10
AGT0000074,2024-01-14 01:28:37,DIGITAL,VND0000006,ACTIVE,36,35,9
AGT0000861,2024-02-03 03:18:01,FIELD,VND0000015,ACTIVE,28,26,10
AGT0000273,2024-04-12 20:25:23,T3,VND0000005,SUSPENDED,32,31,7
AGT0000604,2024-03-03 06:14:34,T2,VND0000006,INACTIVE,23,23,10
AGT0000522,2024-02-13 14:16:29,T2,VND0000011,INACTIVE,30,28,9
AGT0000262,2024-01-07 05:29:56,DIGITAL,VND0000008,INACTIVE,40,38,10
AGT0000188,2024-01-22 17:44:33,T1,VND0000001,INACTIVE,29,29,9
AGT0000789,2024-01-21 20:48:27,FIELD,VND0000014,INACTIVE,32,32,9
AGT0000086,2024-01-22 00:44:04,DIGITAL,VND0000011,INACTIVE,32,31,10
AGT0000012,2024-01-19 00:31:35,T3,VND0000012,ACTIVE,35,34,10
AGT0000308,2024-01-10 18:34:25,T3,VND0000010,SUSPENDED,32,29,9
AGT0000470,2024-01-17 12:11:31,T1,VND0000002,ACTIVE,38,38,10
AGT0000521,2024-01-11 15:36:13,FIELD,VND0000001,SUSPENDED,34,33,10
AGT0000634,2024-01-05 03:00:21,T3,VND0000015,SUSPENDED,26,26,9
AGT0000381,2024-01-05 07:56:39,FIELD,VND0000013,SUSPENDED,33,33,10
AGT0000339,2024-01-13 00:47:35,FIELD,VND0000002,INACTIVE,35,34,10
AGT0000206,2024-04-08 19:41:52,T3,VND0000001,INACTIVE,30,30,10
AGT0000443,2024-01-21 02:21:20,DIGITAL,VND0000006,INACTIVE,41,41,10
AGT0000761,2024-01-12 10:01:44,FIELD,VND0000010,SUSPENDED,21,21,10
AGT0000814,2024-01-31 22:09:27,T3,VND0000002,SUSPENDED,32,31,10
AGT0000299,2024-02-12 04:45:10,T1,VND0000005,SUSPENDED,27,27,10
AGT0000461,2024-02-02 05:02:49,T3,VND0000014,SUSPENDED,27,27,10
AGT0000228,2024-01-04 21:12:17,T1,VND0000007,ACTIVE,20,20,10
AGT0000406,2024-01-01 13:35:26,DIGITAL,VND0000015,INACTIVE,39,37,10
AGT0000854,2024-03-15 02:09:00,FIELD,VND0000002,SUSPENDED,31,31,10
AGT0000217,2024-01-03 18:06:23,DIGITAL,VND0000010,INACTIVE,32,31,10
AGT0000804,2024-02-28 22:57:09,DIGITAL,VND0000015,ACTIVE,33,33,10
AGT0000753,2024-01-03 23:32:46,T3,VND0000008,ACTIVE,27,27,10
AGT0000332,2024-01-10 16:44:12,T2,VND0000004,SUSPENDED,28,28,9
AGT0000574,2024-01-15 07:26:45,T1,VND0000007,INACTIVE,31,31,9
AGT0000001,2024-01-20 05:59:25,T3,VND0000015,ACTIVE,23,23,10
AGT0000340,2024-01-16 03:07:12,DIGITAL,VND0000010,INACTIVE,35,34,10
AGT0000162,2024-01-28 14:12:01,FIELD,VND0000014,SUSPENDED,40,40,9
AGT0000779,2024-01-20 22:07:33,T2,VND0000005,SUSPENDED,28,28,10
AGT0000224,2024-01-02 10:34:01,T1,VND0000006,INACTIVE,37,37,10
AGT0000886,2024-01-13 11:10:23,T3,VND0000002,SUSPENDED,32,32,8
AGT0000151,2024-03-03 02:08:03,FIELD,VND0000008,INACTIVE,28,27,9
AGT0000120,2024-02-12 13:45:23,T1,VND0000012,ACTIVE,31,31,8
AGT0000494,2024-01-29 07:54:11,T2,VND0000002,SUSPENDED,29,29,10
AGT0000232,2024-01-21 10:24:38,T2,VND0000002,ACTIVE,35,31,9
AGT0000979,2024-02-01 18:29:47,DIGITAL,VND0000011,INACTIVE,31,31,10
AGT0000879,2024-01-14 04:36:29,T3,VND0000008,SUSPENDED,33,33,10
AGT0000509,2024-01-04 11:03:51,T2,VND0000001,ACTIVE,27,27,9
AGT0000555,2024-01-20 00:22:57,T1,VND0000002,INACTIVE,41,41,10
AGT0000727,2024-02-07 19:14:48,T2,VND0000013,INACTIVE,36,36,9
AGT0000450,2024-01-09 11:24:39,T3,VND0000010,INACTIVE,26,25,9
AGT0000025,2024-01-12 04:04:26,T1,VND0000002,SUSPENDED,25,25,10
AGT0000823,2024-01-10 14:47:38,T1,VND0000008,INACTIVE,32,32,9
AGT0000593,2024-01-18 19:52:06,T1,VND0000015,INACTIVE,35,34,10
AGT0000541,2024-01-01 08:02:45,DIGITAL,VND0000012,ACTIVE,27,26,10
AGT0000833,2024-01-24 15:01:20,DIGITAL,VND0000006,SUSPENDED,21,20,9
AGT0000621,2024-01-08 03:12:02,T2,VND0000005,INACTIVE,38,38,10
AGT0000698,2024-01-13 20:25:23,T3,VND0000003,ACTIVE,30,30,10
AGT0000816,2024-01-14 03:15:00,T2,VND0000012,INACTIVE,27,27,10
AGT0000534,2024-01-08 20:55:52,T2,VND0000013,INACTIVE,33,32,10
AGT0000643,2024-01-19 18:41:10,T3,VND0000015,SUSPENDED,34,33,10
AGT0000321,2024-01-25 09:07:06,T2,VND0000013,INACTIVE,31,31,10
AGT0000740,2024-01-07 04:14:22,T1,VND0000006,ACTIVE,35,35,10
AGT0000575,2024-01-05 06:52:08,FIELD,VND0000008,SUSPENDED,31,30,10
AGT0000981,2024-01-01 23:43:13,T3,VND0000005,SUSPENDED,30,28,10
AGT0000618,2024-01-21 02:28:32,T2,VND0000010,SUSPENDED,34,34,9
AGT0000057,2024-02-23 09:13:26,T2,VND0000012,INACTIVE,29,29,10
AGT0000907,2024-01-01 23:11:02,T2,VND0000012,SUSPENDED,35,35,10
AGT0000589,2024-01-14 17:36:55,DIGITAL,VND0000015,INACTIVE,30,30,10
AGT0000227,2024-01-01 20:27:47,T3,VND0000009,SUSPENDED,29,29,10
AGT0000477,2024-02-11 20:28:20,FIELD,VND0000014,ACTIVE,36,34,10
AGT0000889,2024-01-14 06:56:36,DIGITAL,VND0000010,SUSPENDED,34,34,10
AGT0000965,2024-02-22 03:45:20,DIGITAL,VND0000007,INACTIVE,32,32,10
AGT0000134,2024-01-25 09:13:39,T1,VND0000014,INACTIVE,28,28,10
AGT0000367,2024-02-19 03:20:29,DIGITAL,VND0000015,INACTIVE,48,48,10
AGT0000119,2024-01-01 14:59:20,T1,VND0000008,ACTIVE,19,19,10
AGT0000732,2024-03-25 20:23:57,DIGITAL,VND0000010,SUSPENDED,28,28,10
AGT0000754,2024-02-08 00:25:19,FIELD,VND0000011,INACTIVE,28,27,10
AGT0000347,2024-06-04 16:32:02,DIGITAL,VND0000001,ACTIVE,30,29,10
AGT0000917,2024-01-02 05:09:57,FIELD,VND0000007,SUSPENDED,30,29,9
AGT0000902,2024-01-11 07:20:37,T2,VND0000008,ACTIVE,24,23,10
AGT0000749,2024-01-11 17:25:41,DIGITAL,VND0000005,INACTIVE,24,24,10
AGT0000525,2024-01-26 19:14:11,FIELD,VND0000013,INACTIVE,34,34,10
AGT0000022,2024-01-17 17:12:18,T1,VND0000010,INACTIVE,26,26,9
AGT0000533,2024-01-24 02:09:04,DIGITAL,VND0000007,INACTIVE,48,47,10
AGT0000043,2024-01-26 11:46:42,FIELD,VND0000011,INACTIVE,34,34,9
AGT0000531,2024-01-04 00:33:33,T1,VND0000002,ACTIVE,43,43,10
AGT0000568,2024-01-02 14:27:21,T2,VND0000012,SUSPENDED,30,30,10
AGT0000101,2024-01-10 02:41:12,T3,VND0000015,SUSPENDED,35,35,9
AGT0000777,2024-01-06 05:04:13,T3,VND0000002,SUSPENDED,36,36,10
AGT0000048,2024-02-13 16:18:02,DIGITAL,VND0000005,SUSPENDED,37,36,10
AGT0000545,2024-02-03 10:13:55,T1,VND0000010,SUSPENDED,39,39,9
AGT0000601,2024-01-23 11:19:51,T2,VND0000005,ACTIVE,22,22,10
AGT0000189,2024-01-05 14:59:44,T2,VND0000007,SUSPENDED,28,28,10
AGT0000688,2024-01-01 23:34:04,T3,VND0000004,ACTIVE,32,32,10
AGT0000067,2024-02-22 02:18:01,DIGITAL,VND0000005,SUSPENDED,22,21,9
AGT0000297,2024-01-24 01:20:46,T1,VND0000008,ACTIVE,33,33,10
AGT0000416,2024-01-25 01:55:46,DIGITAL,VND0000009,SUSPENDED,22,22,9
AGT0000066,2024-01-08 04:35:57,DIGITAL,VND0000010,SUSPENDED,32,31,10
AGT0000032,2024-03-27 01:27:18,FIELD,VND0000008,SUSPENDED,21,21,9
AGT0000168,2024-01-04 23:56:32,DIGITAL,VND0000007,ACTIVE,36,36,10
AGT0000874,2024-01-18 16:11:24,DIGITAL,VND0000013,INACTIVE,30,30,10
AGT0000322,2024-02-11 15:26:06,T1,VND0000003,SUSPENDED,36,36,10
AGT0000612,2024-05-13 15:18:55,DIGITAL,VND0000001,SUSPENDED,24,24,10
AGT0000125,2024-01-23 02:55:24,T2,VND0000012,ACTIVE,27,27,10
AGT0000338,2024-02-15 01:25:41,T3,VND0000010,SUSPENDED,30,30,9
AGT0000172,2024-01-13 12:40:04,FIELD,VND0000004,ACTIVE,35,35,9
AGT0000739,2024-01-21 16:11:01,T2,VND0000003,ACTIVE,39,39,10
AGT0000792,2024-01-09 15:18:56,T2,VND0000012,ACTIVE,22,22,10
AGT0000092,2024-02-12 07:39:23,T1,VND0000014,ACTIVE,36,36,10
AGT0000728,2024-01-10 03:14:10,FIELD,VND0000015,SUSPENDED,34,34,10
AGT0000759,2024-01-04 05:31:38,T2,VND0000007,ACTIVE,28,28,9
AGT0000668,2024-01-01 22:26:42,FIELD,VND0000001,INACTIVE,31,30,10
